seed,correlation,delete_rate,query_id,method,recall_at_k,secure_topk_exact,raw_candidates,latency_ms,violations,certified
11,positive,0.12,3,PreFilter-IVF,1.000000,1.000000,201.000,0.474657,0,0
11,positive,0.12,3,BitmapSlice-Exact,1.000000,1.000000,4.000,0.060994,0,1
11,positive,0.12,3,PACER-A,1.000000,1.000000,4.000,0.192711,0,1
11,positive,0.12,3,PACER-C,1.000000,1.000000,4.000,0.172309,0,1
11,positive,0.12,3,PACER-X,1.000000,1.000000,4.000,0.168685,0,1
11,positive,0.12,4,PostFilter-IVF,0.500000,0.000000,446.000,0.503725,0,0
11,positive,0.12,4,PreFilter-IVF,0.700000,0.000000,498.000,1.163628,0,0
11,positive,0.12,4,BitmapSlice-Exact,1.000000,1.000000,1796.000,2.462020,0,1
11,positive,0.12,4,PACER-A,0.900000,0.000000,700.000,2.946913,0,0
11,positive,0.12,4,PACER-C,1.000000,1.000000,1796.000,5.629233,0,1
11,positive,0.12,4,PACER-X,1.000000,1.000000,1796.000,5.654602,0,1
11,positive,0.12,5,PostFilter-IVF,0.200000,0.000000,516.000,0.484589,0,0
11,positive,0.12,5,PreFilter-IVF,0.600000,0.000000,707.000,1.353803,0,0
11,positive,0.12,5,BitmapSlice-Exact,1.000000,1.000000,107.000,0.187149,0,1
11,positive,0.12,5,PACER-A,1.000000,1.000000,107.000,2.636928,0,1
11,positive,0.12,5,PACER-C,1.000000,1.000000,107.000,2.559705,0,1
11,positive,0.12,5,PACER-X,1.000000,1.000000,107.000,2.695683,0,1
11,positive,0.12,6,PostFilter-IVF,1.000000,1.000000,624.000,0.531578,0,0
11,positive,0.12,6,PreFilter-IVF,1.000000,1.000000,275.000,0.532276,0,0
11,positive,0.12,6,BitmapSlice-Exact,1.000000,1.000000,4.000,0.060521,0,1
11,positive,0.12,6,PACER-A,1.000000,1.000000,4.000,0.294000,0,1
11,positive,0.12,6,PACER-C,1.000000,1.000000,4.000,0.286769,0,1
11,positive,0.12,6,PACER-X,1.000000,1.000000,4.000,0.276906,0,1
11,positive,0.12,7,PostFilter-IVF,1.000000,1.000000,590.000,0.480183,0,0
