query_id,method,regime,recall_at_k,secure_topk_exact,failure_mode,policy_violations,deleted_violations,tenant_violations,latency_ms,raw_candidates,distance_evals,policy_checks,visited_cluster_count,certified
10,GraphPostFilter,narrow,0.3333333333333333,0,candidate_starvation,0,0,0,18.464087999973344,1200,4366,1200,30,0
10,InlineGraph,narrow,0.6666666666666666,0,candidate_starvation,0,0,0,1.0850290000234963,51,51,51,10,0
10,PredicateGraph,narrow,0.3333333333333333,0,candidate_starvation,0,0,0,11.810812000021542,1200,1913,1200,24,0
10,ACORN-2Hop,narrow,0.3333333333333333,0,candidate_starvation,0,0,0,17.919484999993074,1200,4000,1200,26,0
10,FDANN-Beam,narrow,0.3333333333333333,0,candidate_starvation,0,0,0,97.52256199999465,1200,4394,1200,27,0
10,SeRF-Range,narrow,1.0,1,none,0,0,0,0.5101669999021397,4,4,4,3,0
10,SIEVE-Collection,narrow,1.0,1,none,0,0,0,0.3040130000044883,4,4,4,3,0
10,BitmapSlice-Exact,narrow,1.0,1,none,0,0,0,0.10811200013449707,4,3,4,0,1
10,PACER-A,narrow,1.0,1,none,0,0,0,0.3936339999199845,4,4,4,3,1
10,PACER-C,narrow,1.0,1,none,0,0,0,0.3642009999111906,4,4,4,3,1
10,PACER-X,narrow,1.0,1,none,0,0,0,0.41368500001226494,4,4,4,3,1
11,PostFilter-IVF,cold,0.3333333333333333,0,candidate_starvation,0,0,0,1.3277380000999983,1200,1200,1200,8,0
11,PreFilter-IVF,cold,1.0,1,none,0,0,0,1.041944999997213,424,3,424,2,0
11,GraphPostFilter,cold,0.3333333333333333,0,candidate_starvation,0,0,0,18.302056000038647,1200,4190,1200,28,0
11,InlineGraph,cold,0.3333333333333333,0,candidate_starvation,0,0,0,1.2653460000819905,50,50,50,10,0
11,PredicateGraph,cold,0.3333333333333333,0,candidate_starvation,0,0,0,13.430772999981855,1200,2433,1200,25,0
11,ACORN-2Hop,cold,0.3333333333333333,0,candidate_starvation,0,0,0,19.881354000062856,1200,4108,1200,27,0
11,FDANN-Beam,cold,0.3333333333333333,0,candidate_starvation,0,0,0,108.57557700001053,1200,4902,1200,30,0
11,SeRF-Range,cold,1.0,1,none,0,0,0,0.4013660000055097,4,4,4,2,0
11,SIEVE-Collection,cold,1.0,1,none,0,0,0,0.4319150000355876,4,4,4,2,0
11,BitmapSlice-Exact,cold,1.0,1,none,0,0,0,0.11359700010871165,4,3,4,0,1
11,PACER-A,cold,1.0,1,none,0,0,0,0.39548199993078015,4,4,4,2,1
11,PACER-C,cold,1.0,1,none,0,0,0,0.2843059999122488,4,4,4,2,1
11,PACER-X,cold,1.0,1,none,0,0,0,0.2538109999932203,4,4,4,2,1
12,PostFilter-IVF,broad,0.6,0,ranking_truncation,0,0,0,1.3425490001282014,1200,1200,1200,8,0
12,PreFilter-IVF,broad,0.5,0,ranking_truncation,0,0,0,1.5023420000943588,1240,573,1240,7,0
12,GraphPostFilter,broad,1.0,1,none,0,0,0,19.45009799987929,1200,4386,1200,30,0
12,InlineGraph,broad,1.0,1,none,0,0,0,22.46530000002167,1200,2437,1200,30,0
12,PredicateGraph,broad,1.0,1,none,0,0,0,16.486586000155512,1200,3151,1200,29,0
12,ACORN-2Hop,broad,1.0,1,none,0,0,0,62.65803099995537,1200,5058,1200,33,0
12,FDANN-Beam,broad,1.0,1,none,0,0,0,106.87691500015717,1200,4946,1200,32,0
12,SeRF-Range,broad,0.9,0,ranking_truncation,0,0,0,3.9970720001747395,1200,1200,1200,15,0
12,SIEVE-Collection,broad,0.9,0,ranking_truncation,0,0,0,4.135132999863345,1200,1200,1200,15,0
12,BitmapSlice-Exact,broad,1.0,1,none,0,0,0,8.304729999963456,4045,3640,4045,0,1
12,PACER-A,broad,0.9,0,ranking_truncation,0,0,0,4.241582999839011,1200,1200,1200,15,0
12,PACER-C,broad,1.0,1,none,0,0,0,12.42416700006288,4045,4045,4045,48,1
12,PACER-X,broad,1.0,1,none,0,0,0,11.817852000149287,4045,4045,4045,48,1
13,PostFilter-IVF,medium,0.5,0,ranking_truncation,0,0,0,1.0303469998689252,1195,1195,1195,8,0
13,PreFilter-IVF,medium,0.5,0,ranking_truncation,0,0,0,1.31201800013514,1291,32,1291,8,0
13,GraphPostFilter,medium,0.8,0,ranking_truncation,0,0,0,17.691161999891847,1200,4001,1200,27,0
13,InlineGraph,medium,0.8,0,ranking_truncation,0,0,0,3.3063949999814213,129,129,129,15,0
13,PredicateGraph,medium,0.8,0,ranking_truncation,0,0,0,20.601923999947758,1200,2337,1200,29,0
13,ACORN-2Hop,medium,0.8,0,ranking_truncation,0,0,0,23.139605000096708,1200,4265,1200,29,0
13,FDANN-Beam,medium,0.8,0,ranking_truncation,0,0,0,98.90161499993155,1200,4498,1200,30,0
13,SeRF-Range,medium,1.0,1,none,0,0,0,3.9853929999935644,274,274,274,42,0
13,SIEVE-Collection,medium,1.0,1,none,0,0,0,3.064660999825719,274,274,274,42,0
13,BitmapSlice-Exact,medium,1.0,1,none,0,0,0,0.5329539999365807,274,253,274,0,1
13,PACER-A,medium,1.0,1,none,0,0,0,3.629047000003993,274,274,274,42,1
