query_id,kind,method,n,dim,visible_count,recall_at_k,secure_topk_exact,failure_mode,latency_ms,candidates,raw_candidates,policy_checks,visited_cluster_count,certified,certificate_false_positive,summary_pruned_clusters
17,antijoin,PACER-X-SQL-AST,9000,64,1993,1.0,1,none,10.457449000568886,1993,9000,9000,64,1,0,0
18,range,ExactSQL-AST,9000,64,821,1.0,1,none,0.44970999988436233,821,9000,9000,0,1,0,0
18,range,PostFilter-SQL-AST,9000,64,821,0.6,0,ranking_truncation,0.1924599991980358,173,1238,1238,8,0,0,0
18,range,PACER-A-SQL-AST,9000,64,821,0.9,0,ranking_truncation,3.856708999592229,497,4800,4800,31,0,0,0
18,range,PACER-X-SQL-AST,9000,64,821,1.0,1,none,7.389958999738155,821,9000,9000,64,1,0,0
19,mixed,ExactSQL-AST,9000,64,2819,1.0,1,none,0.6306909999693744,2819,9000,9000,0,1,0,0
19,mixed,PostFilter-SQL-AST,9000,64,2819,0.9,0,ranking_truncation,0.22771899966755882,380,1076,1076,8,0,0,0
19,mixed,PACER-A-SQL-AST,9000,64,2819,1.0,1,none,4.99908200072241,1610,4800,4800,35,0,0,0
19,mixed,PACER-X-SQL-AST,9000,64,2819,1.0,1,none,8.653628000502067,2819,9000,9000,64,1,0,0
20,dnf,ExactSQL-AST,9000,64,386,1.0,1,none,0.7953210006235167,386,9000,9000,0,1,0,0
20,dnf,PostFilter-SQL-AST,9000,64,386,0.7,0,ranking_truncation,0.373176000721287,74,1130,1130,8,0,0,0
20,dnf,PACER-A-SQL-AST,9000,64,386,1.0,1,none,8.136221000313526,203,4800,4800,33,0,0,0
20,dnf,PACER-X-SQL-AST,9000,64,386,1.0,1,none,14.696393000122043,386,9000,9000,64,1,0,0
21,semijoin,ExactSQL-AST,9000,64,157,1.0,1,none,0.3457200000411831,157,9000,9000,0,1,0,0
21,semijoin,PostFilter-SQL-AST,9000,64,157,0.3,0,ranking_truncation,0.2437029997963691,11,945,945,8,0,0,0
