query_id,method,recall_at_k,secure_topk_exact,policy_violations,deleted_violations,tenant_violations,latency_ms,raw_candidates,policy_checks,certified
22,PACER-A,1.0,1,0,0,0,2.03303400007826,63,63,1
22,PACER-X,1.0,1,0,0,0,2.916476000109469,63,63,1
23,ExactSecure,1.0,1,0,0,0,7.816065000042727,12000,12000,1
23,BitmapSlice-Exact,1.0,1,0,0,0,0.2336860000013985,21,21,1
23,PostFilter-IVF,0.0,0,0,0,0,1.6406980000738258,1621,1621,0
23,PreFilter-IVF,1.0,1,0,0,0,55.602915999998004,1625,1625,0
23,PACER-A,1.0,1,0,0,0,1.2586069999542815,21,21,1
23,PACER-X,1.0,1,0,0,0,1.0270459999901504,21,21,1
24,ExactSecure,1.0,1,0,0,0,8.742952999909903,12000,12000,1
24,BitmapSlice-Exact,1.0,1,0,0,0,0.3204720001122041,22,22,1
24,PostFilter-IVF,0.5,0,0,0,0,2.435897999930603,1515,1515,0
24,PreFilter-IVF,1.0,1,0,0,0,53.9215520000198,1659,1659,0
24,PACER-A,1.0,1,0,0,0,1.3102569998864055,22,22,1
24,PACER-X,1.0,1,0,0,0,1.2894149999738147,22,22,1
25,ExactSecure,1.0,1,0,0,0,7.4798360001295805,12000,12000,1
25,BitmapSlice-Exact,1.0,1,0,0,0,0.276827000107005,48,48,1
25,PostFilter-IVF,0.3,0,0,0,0,1.6157970001131616,1612,1612,0
25,PreFilter-IVF,0.7,0,0,0,0,15.189417000101457,1748,1748,0
25,PACER-A,1.0,1,0,0,0,2.504319000081523,48,48,1
25,PACER-X,1.0,1,0,0,0,2.399239999931524,48,48,1
26,ExactSecure,1.0,1,0,0,0,8.287108999866177,12000,12000,1
26,BitmapSlice-Exact,1.0,1,0,0,0,0.5132989999765414,85,85,1
26,PostFilter-IVF,0.7,0,0,0,0,1.3675769998826581,1261,1261,0
26,PreFilter-IVF,0.8,0,0,0,0,39.37266999992062,1818,1818,0
26,PACER-A,1.0,1,0,0,0,3.7953539999762143,85,85,1
26,PACER-X,1.0,1,0,0,0,4.04275199980475,85,85,1
27,ExactSecure,1.0,1,0,0,0,6.9043660000716045,12000,12000,1
27,BitmapSlice-Exact,1.0,1,0,0,0,0.1759280000896979,18,18,1
27,PostFilter-IVF,0.4,0,0,0,0,1.214726999933191,1413,1413,0
27,PreFilter-IVF,0.8,0,0,0,0,29.040618999943035,1692,1692,0
27,PACER-A,1.0,1,0,0,0,1.748269000017899,18,18,1
27,PACER-X,1.0,1,0,0,0,1.7426590000013675,18,18,1
28,ExactSecure,1.0,1,0,0,0,8.043315999884726,12000,12000,1
28,BitmapSlice-Exact,1.0,1,0,0,0,0.3219660000013391,23,23,1
28,PostFilter-IVF,0.1,0,0,0,0,1.214144999948985,1373,1373,0
28,PreFilter-IVF,0.8,0,0,0,0,31.97945199985952,1863,1863,0
28,PACER-A,1.0,1,0,0,0,1.9167759999163536,23,23,1
28,PACER-X,1.0,1,0,0,0,1.7058969999652618,23,23,1
29,ExactSecure,1.0,1,0,0,0,7.504337000000305,12000,12000,1
29,BitmapSlice-Exact,1.0,1,0,0,0,0.1896950000173092,28,28,1
29,PostFilter-IVF,0.5,0,0,0,0,1.1696199999278178,1311,1311,0
29,PreFilter-IVF,0.7,0,0,0,0,33.34921700002269,1856,1856,0
29,PACER-A,1.0,1,0,0,0,1.8726039998000488,28,28,1
29,PACER-X,1.0,1,0,0,0,2.1564449998550117,28,28,1
30,ExactSecure,1.0,1,0,0,0,7.409774000052494,12000,12000,1
30,BitmapSlice-Exact,1.0,1,0,0,0,0.304884000115635,55,55,1
30,PostFilter-IVF,0.6,0,0,0,0,1.244131000021298,1336,1336,0
30,PreFilter-IVF,0.8,0,0,0,0,40.784459000178686,1372,1372,0
30,PACER-A,1.0,1,0,0,0,3.086952999865389,55,55,1
30,PACER-X,1.0,1,0,0,0,2.8066600000329345,55,55,1
31,ExactSecure,1.0,1,0,0,0,6.627455999932863,12000,12000,1
31,BitmapSlice-Exact,1.0,1,0,0,0,0.2583569998932944,49,49,1
31,PostFilter-IVF,0.3,0,0,0,0,1.3636020000831195,1639,1639,0
31,PreFilter-IVF,0.6,0,0,0,0,33.667234999938955,1760,1760,0
31,PACER-A,1.0,1,0,0,0,2.6838259998385183,49,49,1
31,PACER-X,1.0,1,0,0,0,3.0425980000927666,49,49,1
