epoch,query_id,method,base_rows,delta_rows,visible_rows,inserted_since_compaction,tombstones_to_date,recall_at_k,secure_topk_exact,raw_checks,rebuild_ms,policy_violations,epoch_violations
2,9,BaseOnly-Stale,4132,2328,6329,2328,131,0.7,0,182,0.0,0,0
2,9,DeltaPACER,4132,2328,6329,2328,131,1.0,1,2510,0.0,0,0
2,9,FreshSlice-Rebuild,4132,2328,6329,2328,131,1.0,1,294,98.23645599999509,0,0
2,10,BaseOnly-Stale,4132,2328,6329,2328,131,1.0,1,1,0.0,0,0
2,10,DeltaPACER,4132,2328,6329,2328,131,1.0,1,2329,0.0,0,0
2,10,FreshSlice-Rebuild,4132,2328,6329,2328,131,1.0,1,1,98.23645599999509,0,0
2,11,BaseOnly-Stale,4132,2328,6329,2328,131,1.0,1,1,0.0,0,0
2,11,DeltaPACER,4132,2328,6329,2328,131,1.0,1,2329,0.0,0,0
2,11,FreshSlice-Rebuild,4132,2328,6329,2328,131,1.0,1,1,98.23645599999509,0,0
2,12,BaseOnly-Stale,4132,2328,6329,2328,131,0.6,0,1689,0.0,0,0
2,12,DeltaPACER,4132,2328,6329,2328,131,1.0,1,4017,0.0,0,0
2,12,FreshSlice-Rebuild,4132,2328,6329,2328,131,1.0,1,2626,98.23645599999509,0,0
2,13,BaseOnly-Stale,4132,2328,6329,2328,131,0.8,0,130,0.0,0,0
2,13,DeltaPACER,4132,2328,6329,2328,131,1.0,1,2458,0.0,0,0
2,13,FreshSlice-Rebuild,4132,2328,6329,2328,131,1.0,1,207,98.23645599999509,0,0
2,14,BaseOnly-Stale,4132,2328,6329,2328,131,0.5,0,1,0.0,0,0
2,14,DeltaPACER,4132,2328,6329,2328,131,1.0,1,2329,0.0,0,0
2,14,FreshSlice-Rebuild,4132,2328,6329,2328,131,1.0,1,2,98.23645599999509,0,0
2,15,BaseOnly-Stale,4132,2328,6329,2328,131,1.0,1,1,0.0,0,0
2,15,DeltaPACER,4132,2328,6329,2328,131,1.0,1,2329,0.0,0,0
2,15,FreshSlice-Rebuild,4132,2328,6329,2328,131,1.0,1,1,98.23645599999509,0,0
2,16,BaseOnly-Stale,4132,2328,6329,2328,131,0.6,0,1853,0.0,0,0
2,16,DeltaPACER,4132,2328,6329,2328,131,1.0,1,4181,0.0,0,0
2,16,FreshSlice-Rebuild,4132,2328,6329,2328,131,1.0,1,2942,98.23645599999509,0,0
2,17,BaseOnly-Stale,4132,2328,6329,2328,131,0.5,0,101,0.0,0,0
2,17,DeltaPACER,4132,2328,6329,2328,131,1.0,1,2429,0.0,0,0
2,17,FreshSlice-Rebuild,4132,2328,6329,2328,131,1.0,1,150,98.23645599999509,0,0
2,18,BaseOnly-Stale,4132,2328,6329,2328,131,1.0,1,1,0.0,0,0
2,18,DeltaPACER,4132,2328,6329,2328,131,1.0,1,2329,0.0,0,0
2,18,FreshSlice-Rebuild,4132,2328,6329,2328,131,1.0,1,1,98.23645599999509,0,0
2,19,BaseOnly-Stale,4132,2328,6329,2328,131,1.0,1,3,0.0,0,0
2,19,DeltaPACER,4132,2328,6329,2328,131,1.0,1,2331,0.0,0,0
2,19,FreshSlice-Rebuild,4132,2328,6329,2328,131,1.0,1,3,98.23645599999509,0,0
3,0,BaseOnly-Stale,7444,0,7178,0,266,1.0,1,3134,0.0,0,0
3,0,DeltaPACER,7444,0,7178,0,266,1.0,1,3134,0.0,0,0
3,0,FreshSlice-Rebuild,7444,0,7178,0,266,1.0,1,3134,123.65837900006227,0,0
3,1,BaseOnly-Stale,7444,0,7178,0,266,1.0,1,224,0.0,0,0
3,1,DeltaPACER,7444,0,7178,0,266,1.0,1,224,0.0,0,0
3,1,FreshSlice-Rebuild,7444,0,7178,0,266,1.0,1,224,123.65837900006227,0,0
3,2,BaseOnly-Stale,7444,0,7178,0,266,1.0,1,2,0.0,0,0
3,2,DeltaPACER,7444,0,7178,0,266,1.0,1,2,0.0,0,0
3,2,FreshSlice-Rebuild,7444,0,7178,0,266,1.0,1,2,123.65837900006227,0,0
3,3,BaseOnly-Stale,7444,0,7178,0,266,1.0,1,2,0.0,0,0
3,3,DeltaPACER,7444,0,7178,0,266,1.0,1,2,0.0,0,0
3,3,FreshSlice-Rebuild,7444,0,7178,0,266,1.0,1,2,123.65837900006227,0,0
3,4,BaseOnly-Stale,7444,0,7178,0,266,1.0,1,3366,0.0,0,0
3,4,DeltaPACER,7444,0,7178,0,266,1.0,1,3366,0.0,0,0
3,4,FreshSlice-Rebuild,7444,0,7178,0,266,1.0,1,3366,123.65837900006227,0,0
3,5,BaseOnly-Stale,7444,0,7178,0,266,1.0,1,191,0.0,0,0
3,5,DeltaPACER,7444,0,7178,0,266,1.0,1,191,0.0,0,0
3,5,FreshSlice-Rebuild,7444,0,7178,0,266,1.0,1,191,123.65837900006227,0,0
3,6,BaseOnly-Stale,7444,0,7178,0,266,1.0,1,1,0.0,0,0
3,6,DeltaPACER,7444,0,7178,0,266,1.0,1,1,0.0,0,0
3,6,FreshSlice-Rebuild,7444,0,7178,0,266,1.0,1,1,123.65837900006227,0,0
3,7,BaseOnly-Stale,7444,0,7178,0,266,1.0,1,6,0.0,0,0
3,7,DeltaPACER,7444,0,7178,0,266,1.0,1,6,0.0,0,0
3,7,FreshSlice-Rebuild,7444,0,7178,0,266,1.0,1,6,123.65837900006227,0,0
3,8,BaseOnly-Stale,7444,0,7178,0,266,1.0,1,3053,0.0,0,0
3,8,DeltaPACER,7444,0,7178,0,266,1.0,1,3053,0.0,0,0
3,8,FreshSlice-Rebuild,7444,0,7178,0,266,1.0,1,3053,123.65837900006227,0,0
3,9,BaseOnly-Stale,7444,0,7178,0,266,1.0,1,229,0.0,0,0
3,9,DeltaPACER,7444,0,7178,0,266,1.0,1,229,0.0,0,0
3,9,FreshSlice-Rebuild,7444,0,7178,0,266,1.0,1,229,123.65837900006227,0,0
3,10,BaseOnly-Stale,7444,0,7178,0,266,1.0,1,4,0.0,0,0
3,10,DeltaPACER,7444,0,7178,0,266,1.0,1,4,0.0,0,0
3,10,FreshSlice-Rebuild,7444,0,7178,0,266,1.0,1,4,123.65837900006227,0,0
3,11,BaseOnly-Stale,7444,0,7178,0,266,1.0,1,3,0.0,0,0
3,11,DeltaPACER,7444,0,7178,0,266,1.0,1,3,0.0,0,0
3,11,FreshSlice-Rebuild,7444,0,7178,0,266,1.0,1,3,123.65837900006227,0,0
3,12,BaseOnly-Stale,7444,0,7178,0,266,1.0,1,3002,0.0,0,0
3,12,DeltaPACER,7444,0,7178,0,266,1.0,1,3002,0.0,0,0
3,12,FreshSlice-Rebuild,7444,0,7178,0,266,1.0,1,3002,123.65837900006227,0,0
3,13,BaseOnly-Stale,7444,0,7178,0,266,1.0,1,209,0.0,0,0
3,13,DeltaPACER,7444,0,7178,0,266,1.0,1,209,0.0,0,0
